Description,Manufacturer,Brand Name,Strength,Label Size,Pack Quantity,Min Price
BICALUTAMIDE TB 50MG 30,SUN PHARMACEUTICAL CS,CASODEX,50MG,30 EA,1,7.27
BIKTARVY 50-200-25MG TB 30 CPLT,GILEAD SCIENCES INC,,50-200-25MG,30 EA,1,4258.26
BIMATOPROST DR 0.03% 2.5ML OPTH,ALEMBIC PHARMACEUTICALS INC CS,LUMIGAN,0.03%,2.5 ML,1,27.17
BIMATOPROST DR0.03%3ML 70APL OPTH,SANDOZ CS,LATISSE,0.03%,3 ML,1,54.07
BIMATOPROST DR0.03%5ML140APL OPTH,SANDOZ CS,LATISSE,0.03%,5 ML,1,89.67
BIMATOPROST DR 0.03% 5ML OPTH,ALEMBIC PHARMACEUTICALS INC CS,LUMIGAN,0.03%,5 ML,1,65.87
BIMATOPROST DR 0.03% 7.5ML OPTH,SOMERSET PHARMA LLC,LUMIGAN,0.03%,7.5 ML,1,130.67
BISACODYL TB 5MG 1000 EC,MAJOR PHARMACEUTICALS CS,,5MG,1000 EA,1,5.41
BISACODYL TB 5MG 10X10UD EC,MAJOR PHARMACEUTICALS CHLC,DULCOLAX,5MG,10X10EA,10,2.49
BISACODYL TB 5MG 10X10UD EC,MAJOR PHARMACEUTICALS NLC,DULCOLAX,5MG,10X10EA,10,2.49
BISOPROLOL FUMARATE TB 10MG 100,ANI PHARMACEUTICALS INC CS,ZEBETA,10MG,100 EA,1,18.37
BISOPROLOL FUMARATE TB 10MG 30UU,ANI PHARMACEUTICALS INC CS,ZEBETA,10MG,30 EA,1,6.27
BISOPROLOL FUMARATE TB 2.5MG 30,TRUPHARMA LLC CS NCBNET,,2.5MG,30 EA,1,57.57
BISOPROLOL FUMARATE TB 5MG 100,ANI PHARMACEUTICALS INC CS,ZEBETA,5MG,100 EA,1,14.67
BISOPROLOL FUMARATE TB 5MG 30UU,ANI PHARMACEUTICALS INC CS,ZEBETA,5MG,30 EA,1,4.77
BISOPROLOL/HCTZ TB 10-6.25MG 100,MYLAN PHARM CS,ZIAC,10-6.25MG,100 EA,1,15.57
BISOPROLOL/HCTZ TB 2.5-6.25MG 100,MYLAN PHARM CS,ZIAC,2.5-6.25MG,100 EA,1,14.67
BISOPROLOL/HCTZ TB 5-6.25MG 100,MYLAN PHARM CS,ZIAC,5-6.25MG,100 EA,1,15.07
BLUE GEL 2% 226.8GM,MAJOR RUGBY LABS,MINERAL ICE,2%,226.8 GM,1,1.61
BP 2.5% WASH LQ 227GM,CINTEX SERVICES LLC CS,BENZOYL PEROX,2.5%,227 GM,1,136.47
BRANTUSSIN DM LQ 473ML STB,BRANDYWINE PHARMA LLC GWSA CHLC,,15-7.5-2MG,473 ML,1,17.57
BREO ELLIPTA IN 100-25MCG 30INH,GLAXO SMITHKLINE,,100-25MCG,60 EA,1,403.15
BREO ELLIPTA IN 200-25MCG 30INH,GLAXO SMITHKLINE,,200-25MCG,60 EA,1,403.15
BRILINTA TB 60MG 60,ASTRAZENECA,,60MG,60 EA,1,460.1
BRILINTA TB 90MG 60,ASTRAZENECA,,90MG,60 EA,1,460.1
BRIMONIDINE GL0.33% 30GM PUMP TOP,PADAGIS US LLC RX CS,MIRVASO,0.33%,30 GM,1,375.97
BRIMONIDINE TART DR0.1% 10ML OPTH,APOTEX CORP CS,ALPHAGAN P,0.1%,10 ML,1,240.47
BRIMONIDINE TART DR0.1% 10ML OPTH,ZYDUS PHARMA USA INC CS,ALPHAGAN,0.1%,10 ML,1,150.27
BRIMONIDINE TART DR0.1% 15ML OPTH,APOTEX CORP CS,ALPHAGAN P,0.1%,15 ML,1,356.57
BRIMONIDINE TART DR0.1% 15ML OPTH,ZYDUS PHARMA USA INC CS,ALPHAGAN,0.1%,15 ML,1,223.37
BRIMONIDINE TART DR 0.15%10MLOPTH,ZYDUS PHARMA USA INC CS,ALPHAGAN,0.15%,10 ML,1,103.67
BRIMONIDINE TART DR0.15%10ML OPTH,SANDOZ CS,ALPHAGAN,0.15%,10 ML,1,178.17
BRIMONIDINE TART DR 0.15%15MLOPTH,ZYDUS PHARMA USA INC CS,ALPHAGAN,0.15%,15 ML,1,144.17
BRIMONIDINE TART DR0.15%15ML OPTH,SANDOZ CS,ALPHAGAN,0.15%,15 ML,1,267.17
BRIMONIDINE TART DR 0.15%5ML OPTH,SANDOZ CS,ALPHAGAN,0.15%,5 ML,1,82.67
BRIMONIDINE TART DR 0.15%5ML OPTH,ZYDUS PHARMA USA INC CS,ALPHAGAN,0.15%,5 ML,1,44.5
BRIMONIDINE TART DR 0.1% 5ML OPTH,APOTEX CORP CS,ALPHAGAN P,0.1%,5 ML,1,117.97
BRIMONIDINE TART DR 0.1% 5ML OPTH,ZYDUS PHARMA USA INC CS,ALPHAGAN,0.1%,5 ML,1,73.87
BRIMONIDINE TART DR 0.2%10ML OPTH,SANDOZ CS,ALPHAGAN,0.2%,10 ML,1,3.57
BRIMONIDINE TART DR 0.2%15ML OPTH,SANDOZ CS,ALPHAGAN,0.2%,15 ML,1,5.57
BRIMONIDINE TART DR 0.2% 5ML OPTH,SANDOZ CS,ALPHAGAN,0.2%,5 ML,1,2.07
BRIMONIDINE/TIMOL DR 0.2-0.5%10ML,UPSHER SMITH LABS LLC CS,COMBIGAN,0.2-0.5%,10 ML,1,31.27
BRIMONIDINE/TIMOL DR 0.2-0.5%15ML,UPSHER SMITH LABS LLC CS,COMBIGAN,0.2-0.5%,15 ML,1,45.27
BRIMONIDINE/TIMOL DR 0.2-0.5% 5ML,UPSHER SMITH LABS LLC CS,COMBIGAN,0.2-0.5%,5 ML,1,15.77
BRINZOLAMIDE DR 1% 10ML OPTH SUSP,BAUSCH LOMB AMERICAS CS,AZOPT,1%,10 ML,1,96.47
BRINZOLAMIDE DR 1% 15ML OPTH SUSP,BAUSCH LOMB AMERICAS CS,AZOPT,1%,15 ML,1,135.17
BROMFENAC DR 0.07% 3ML OPTH,LUPIN PHARMA INC CS NCBNET,PROLENSA,0.07%,3 ML,1,63.97
BROMFENAC DR 0.075% 5ML OPTH,LUPIN PHARMA INC CS NCBNET,BROMSITE,0.075%,5 ML,1,168.57
BROMFENAC DR 0.09% 1.7ML OPTH,FOSUN PHARMA USA CS,BROMDAY,0.09%,1.7 ML,1,54.17
BROMOCRIPTINE CP 5MG 30,ZYDUS PHARMA USA INC CS,PARLODEL,5MG,30 EA,1,77.27
BROMOCRIPTINE TB 2.5MG 100,PADAGIS US LLC RX CS,PARLODEL,2.5MG,100 EA,1,125.07
BROMOCRIPTINE TB 2.5MG 30,PADAGIS US LLC RX CS,PARLODEL,2.5MG,30 EA,1,39.17
BROMSITE DR 0.075% 5ML OPTH,SUN PHARMACEUTICAL BRAND,,0.075%,5 ML,1,256.61
BUDES/FORMO IN 160-4.5MCG 10.2GM,PRASCO LABS CS,SYMBICORT,160-4.5MCG,10.2 GM,1,160.47
BUDES/FORMO IN 80-4.5MCG 10.2GM,PRASCO LABS CS,SYMBICORT,80-4.5MCG,10.2 GM,1,144.07
BUDESONIDE AH 0.25MG/2ML 30X2MLUD,GLOBAL PHARM IMPAX LABS CS,PULMICORT,0.25MG/2ML,30X2ML,30,28.97
BUDESONIDE AH0.5MG/2ML 30UD 1/PCH,TEVA PHARMA CS,PULMICORT,0.5MG/2ML,30X2ML,30,36.77
BUDESONIDE AH 0.5MG/2ML 30X2ML,CIPLA USA INC CS,PULMICORT,0.5MG/2ML,30X2ML,1,176.87
BUDESONIDE AH 0.5MG/2ML 30X2ML,CIPLA USA INC CS,PULMICORT,0.5MG/2ML,30X2ML,30,32.87
BUDESONIDE AH 0.5MG/2ML 30X2ML SD,RISING PHARMA HOLDINGS INC CS,PULMICORT,0.5MG/2ML,30X2ML,30,119.27
BUDESONIDE AH 0.5MG/2ML 30X2MLUD,GLOBAL PHARM IMPAX LABS CS,PULMICORT,0.5MG/2ML,30X2ML,30,28.97
BUDESONIDE AH 1MG/2ML30X2MLUD INH,TEVA PHARMA CS,PULMICORT,1MG/2ML,30X2ML,30,141.07
BUDESONIDE CP 3MG 100 DR,PADAGIS US LLC RX CS,ENTOCORT EC,3MG,100 EA,1,59.07
BUDESONIDE CP 3MG 100 EC,AMNEAL PHARMACEUTICALS LLC CS,ENTOCORT EC,3MG,100 EA,1,42.57
BUDESONIDE FM 2MG 66.8GM 2X14DS,PADAGIS US LLC RX CS,UCERIS,2MG,66.8 GM,1,544.97
BUDESONIDE SN 32MCG 8.43ML 120SP,MAJOR RUGBY LABS CHLC,RHINOCORT ALLERGY,32MCG,8.43ML,1,13.78
BUDESONIDE SN 32MCG 8.43ML 120SP,MAJOR RUGBY LABS NLC,RHINOCORT ALLERGY,32MCG,8.43ML,1,13.78
BUDESONIDE TB 9MG 30 ER,TEVA PHARMA CS,UCERIS,9MG,30 EA,1,353.57
BUMETANIDE TB 0.5MG 100,AMNEAL PHARMACEUTICALS LLC CS,BUMEX,0.5MG,100 EA,1,10.27
BUMETANIDE TB 1MG 100,AMNEAL PHARMACEUTICALS LLC CS,BUMEX,1MG,100 EA,1,11.07
BUMETANIDE TB 1MG 100,AVET PHARMA INC CS,BUMEX,1MG,100 EA,1,12.27
BUMETANIDE TB 1MG 500,AMNEAL PHARMACEUTICALS LLC CS,BUMEX,1MG,500 EA,1,47.47
BUMETANIDE TB 1MG 500,AVET PHARMA INC CS,BUMEX,1MG,500 EA,1,55.97
BUMETANIDE TB 2MG 100,AMNEAL PHARMACEUTICALS LLC CS,BUMEX,2MG,100 EA,1,16.97
BUMETANIDE TB 2MG 100,AVET PHARMA INC CS,BUMEX,2MG,100 EA,1,17.57
BUMETANIDE TB 2MG 500,AMNEAL PHARMACEUTICALS LLC CS,BUMEX,2MG,500 EA,1,84.67
BUMETANIDE TB 2MG 500,AVET PHARMA INC CS,BUMEX,2MG,500 EA,1,87.67
BUPROPION HCL SR TB 100MG 100 ER,SCIEGEN PHARMACEUTICALS INC CS,WELLBUTRIN SR,100MG,100 EA,1,6.47
BUPROPION HCL SR TB 100MG 500 ER,SCIEGEN PHARMACEUTICALS INC CS,WELLBUTRIN SR,100MG,500 EA,1,24.47
BUPROPION HCL SR TB 150MG 100 ER,SCIEGEN PHARMACEUTICALS INC CS,WELLBUTRIN SR,150MG,100 EA,1,5.97
BUPROPION HCL SR TB 150MG 500 ER,SCIEGEN PHARMACEUTICALS INC CS,WELLBUTRIN SR,150MG,500 EA,1,23.97
BUPROPION HCL SR TB 200MG 100 ER,SCIEGEN PHARMACEUTICALS INC CS,WELLBUTRIN SR,200MG,100 EA,1,7.17
BUPROPION HCL TB 100MG 100 3/D,ALEMBIC PHARMACEUTICALS INC CS,WELLBUTRIN,100MG,100 EA,1,5.77
BUPROPION HCL TB 75MG 100 3/D,ALEMBIC PHARMACEUTICALS INC CS,WELLBUTRIN,75MG,100 EA,1,4.77
BUPROPION SR TB 100MG 60,TEVA PHARMA CS,WELLBUTRIN SR,100MG,60 EA,1,13.77
BUPROPION SR TB 150MG 100,SOLCO HEALTHCARE US LLC CS,WELLBUTRIN SR,150MG,100 EA,1,9.67
BUPROPION SR TB 150MG 250,TEVA PHARMA CS,WELLBUTRIN SR,150MG,250 EA,1,47.17
BUPROPION TB 100MG 100,AVET PHARMA INC CS,WELLBUTRIN,100MG,100 EA,1,9.77
BUPROPION TB 75MG 100,AVET PHARMA INC CS,WELLBUTRIN,75MG,100 EA,1,7.37
BUPROPION XL TB 150MG 30 1/D,LUPIN PHARMA INC CS NCBNET,WELLBUTRIN XL,150MG,30 EA,1,2.47
BUPROPION XL TB 150MG 30 1/D,UPSHER SMITH LABS LLC CS,WELLBUTRIN XL,150MG,30 EA,1,3.07
BUPROPION XL TB 150MG 500 1/D,LUPIN PHARMA INC CS NCBNET,WELLBUTRIN XL,150MG,500 EA,1,30.67
BUPROPION XL TB 150MG 500 1/D,UPSHER SMITH LABS LLC CS,WELLBUTRIN XL,150MG,500 EA,1,25.37
BUPROPION XL TB 150MG 500 ER,WESTMINSTER PHARMACEUTICALS CS,WELLBUTRIN XL,150MG,500 EA,1,34.77
BUPROPION XL TB 150MG 90 1/D,LUPIN PHARMA INC CS NCBNET,WELLBUTRIN XL,150MG,90 EA,1,5.77
BUPROPION XL TB 150MG 90 1/D,UPSHER SMITH LABS LLC CS,WELLBUTRIN XL,150MG,90 EA,1,6.37
BUPROPION XL TB 300MG 30 1/D,LUPIN PHARMA INC CS NCBNET,WELLBUTRIN XL,300MG,30 EA,1,3.57
BUPROPION XL TB 300MG 500 1/D,LUPIN PHARMA INC CS NCBNET,WELLBUTRIN XL,300MG,500 EA,1,46.77
BUPROPION XL TB 300MG 90 1/D ER,LUPIN PHARMA INC CS NCBNET,WELLBUTRIN XL,300MG,90 EA,1,9.27
BUPROPION XL TB 450MG 30 1/D,UPSHER SMITH LABS LLC CS,FORFIVO XL,450MG,30 EA,1,198.17
BUSPIRONE HCL TB 10MG 100,AVET PHARMA INC CS,BUSPAR,10MG,100 EA,1,3.47
BUSPIRONE HCL TB 10MG 500,AVET PHARMA INC CS,BUSPAR,10MG,500 EA,1,13.27
BUSPIRONE HCL TB 15MG 100,TEVA PHARMA CS,BUSPAR,15MG,100 EA,1,3.87
BUSPIRONE HCL TB 15MG 500,TEVA PHARMA CS,BUSPAR,15MG,500 EA,1,27.77
BUSPIRONE HCL TB 15MG 500 CPLT,ZYDUS PHARMA USA INC CS,BUSPAR,15MG,500 EA,1,39.87
BUSPIRONE HCL TB 15MG 60 CPLT,AVET PHARMA INC CS,BUSPAR,15MG,60 EA,1,3.17
BUSPIRONE HCL TB 30MG 60 CPLT,ZYDUS PHARMA USA INC CS,BUSPAR,30MG,60 EA,1,4.77
BUSPIRONE HCL TB 5MG 100,AVET PHARMA INC CS,BUSPAR,5MG,100 EA,1,2.27
BUSPIRONE HCL TB 5MG 500,AVET PHARMA INC CS,BUSPAR,5MG,500 EA,1,9.17
BUSPIRONE HCL TB 7.5MG 100,ADVAGEN PHARMA LTD CS,BUSPAR,7.5MG,100 EA,1,6.07
BYSTOLIC TB 2.5MG 30,ABBVIE US LLC 2,,2.5MG,30 EA,1,190.04
CABERGOLINE TB 0.5MG 8,INGENUS PHARMACEUTICALS LLC CS,DOSTINEX,0.5MG,8 EA,1,7.37
CALAMINE LOTION 8-8% 177ML,MAJOR PHARMACEUTICALS CHLC,,8-8%,177 ML,1,1.41
CALAMINE LOTION 8-8% 177ML,MAJOR PHARMACEUTICALS NLC,,8-8%,177 ML,1,1.41
CALC/BET OI 0.005-0.064%100GM TOP,PADAGIS US LLC RX CS,TACLONEX,0.005-0.064%,100 GM,1,111.97
CALC/BET OI 0.005-0.064% 60GM TOP,PADAGIS US LLC RX CS,TACLONEX,0.005-0.064%,60 GM,1,78.37
CALC/BET SS 0.005-0.064% 2X60 GM,TARO PHARMACEUTICALS USA CS,TACLONEX,0.005-0.064%,2X60GM,1,276.87
CALC/BET SS 0.005-0.064% 60GM TOP,TARO PHARMACEUTICALS USA CS,TACLONEX,0.005-0.064%,60 GM,1,138.47
CALC CIT+D3 TB 315MG-5MCG 100,MAJOR RUGBY LABS,,315MG-5MCG,100 EA,1,3.72
CALC CIT+D3 TB 315MG-5MCG 100,MAJOR RUGBY LABS CHLC,,315MG-5MCG,100 EA,1,3.72
CALC CIT+D3 TB 315MG-5MCG 100,MAJOR RUGBY LABS NLC,,315MG-5MCG,100 EA,1,3.72
CALCIPOTRIENE CR 0.005% 120GM,PRASCO LABS CS,DOVONEX,0.005%,120 GM,1,77.37
CALCIPOTRIENE CR 0.005% 60GM,PRASCO LABS CS,DOVONEX,0.005%,60 GM,1,35.07
CALCIPOTRIENE OI 0.005% 120GM TOP,GLENMARK PHARMA INC USA CS,DOVONEX,0.005%,120 GM,1,142.37
CALCIPOTRIENE OI 0.005% 120GM TOP,PRASCO LABS CS,DOVONEX,0.005%,120 GM,1,308.47
CALCIPOTRIENE OI 0.005% 60GM TOP,GLENMARK PHARMA INC USA CS,DOVONEX,0.005%,60 GM,1,77.07
CALCITONIN-SAL SN 200U/DOSE 3.7ML,ENDO USA INC CS,MIACALCIN,200U/DOSE,3.7 ML,1,33.27
CALCITRIOL GC 0.25MCG 100 SFG,AVET PHARMA INC CS,ROCALTROL,0.25MCG,100 EA,1,13.97
CALCITRIOL GC 0.25MCG 30 SFG,AVET PHARMA INC CS,ROCALTROL,0.25MCG,30 EA,1,4.17
CALCITRIOL GC 0.5MCG 100 SFG,AVET PHARMA INC CS,ROCALTROL,0.5MCG,100 EA,1,23.77
CALCITRIOL GC 0.5MCG 100 SFG,BIONPHARMA INC CS,ROCALTROL,0.5MCG,100 EA,1,17.17
CALCITRIOL OI 3MCG/GM 100GM TOP,PADAGIS US LLC RX CS,VECTICAL,3MCG/GM,100 GM,1,377.57
CALCITRIOL SL 1MCG/ML 15ML 20DSPN,HIKMA CS,ROCALTROL,1MCG/ML,15 ML,1,60.77
CALCIUM ACETATE CP 667MG 200,RISING PHARMA HOLDINGS INC CS,PHOSLO,667MG,200 EA,1,27.17
CALCIUM ACETATE CP 667MG 30,HIKMA CS,PHOSLO,667MG,30 EA,1,5.57
CALCIUM ACETATE TB 667MG 200,AVET PHARMA INC CS,PHOSLO,667MG,200 EA,1,77.37
CALCIUM ANTACID CW500MG 150 A/FRT,MAJOR PHARMACEUTICALS CS CHLC,TUMS,500MG,150 EA,1,1.67
CALCIUM ANTACID CW500MG 150 A/FRT,MAJOR PHARMACEUTICALS CS NLC,TUMS,500MG,150 EA,1,1.67
CALCIUM ANTACID CW 750MG 96 A/BRY,MAJOR RUGBY LABS,,750MG,96 EA,1,2.33
CALCIUM ANTACID CW 750MG 96 A/FRT,MAJOR RUGBY LABS,TUMS EX,750MG,96 EA,1,2.34
CALCIUM CARB/D TB 600MG-200IU 60,MAJOR RUGBY LAB CS NLC,,600MG-200U,60 EA,1,1.3
CALCIUM CARB/D TB 600MG-200IU 60,MAJOR RUGBY LABS CS CHLC,,600MG-200U,60 EA,1,1.3
CALCIUM CARB/D TB 600MG-400IU 150,MAJOR RUGBY LAB CS,,600MG-400U,150 EA,1,2.85
CALCIUM CARB/D TB 600MG-400IU 150,MAJOR RUGBY LAB CS NLC,,600MG-400U,150 EA,1,2.85
CALCIUM CARB/D TB 600MG-400IU 60,MAJOR RUGBY LAB CS NLC,,600MG-400U,60 EA,1,1.06
CALCIUM CARB/D TB 600MG-400IU 60,MAJOR RUGBY LABS CS CHLC,,600MG-400U,60 EA,1,1.06
CALCIUM CARBONATE TB 600MG 150,MAJOR PHARMACEUTICALS CS CHLC,,600MG,150 EA,1,2.73
CALCIUM CARBONATE TB 600MG 150,MAJOR PHARMACEUTICALS CS NLC,,600MG,150 EA,1,2.73
CALCIUM CARBONATE TB 648MG 1000,MAJOR RUGBY LABS,,648MG,1000 EA,1,7.44
CALCIUM CARB SS 1250MG/5ML 473ML,PHARMACEUTICAL ASSOC CS,CALCIUM CARBONATE,1250MG/5ML,473 ML,1,7.97
CALCIUM CITRATE TB 200MG 100,MAJOR RUGBY LABS CHLC,,200MG,100 EA,1,3.38
CALCIUM CW 500MG-100U 60 ORN,MAJOR RUGBY LABS CHLC,,500MG-100U,60 EA,1,1.8
CALCIUM CW 500MG-100U 60 ORN,MAJOR RUGBY LABS NLC,,500MG-100U,60 EA,1,1.8
CALCIUM/D3 CW500MG-400U 60 LMN/LM,MAJOR RUGBY LABS CHLC,,500MG-400U,60 EA,1,2.41
CALCIUM/D TB 600MG-200U 150,MAJOR RUGBY LAB CS NLC,,600MG-200U,150 EA,1,2.07
CALCIUM/D TB 600MG-200U 150,MAJOR RUGBY LABS CS CHLC,,600MG-200U,150 EA,1,2.07
CALCIUM TB 600MG 60,MAJOR RUGBY LAB CS,,600MG,60 EA,1,1.19
CALCIUM TB 600MG 60,MAJOR RUGBY LAB CS NLC,,600MG,60 EA,1,1.19
CALCIUM VITA D3 TB 600MG-400U 180,MAJOR RUGBY LAB CS NLC,,600MG-400U,180 EA,1,2.47
CALCIUM VITA D3 TB 600MG-400U 180,MAJOR RUGBY LABS CS CHLC,,600MG-400U,180 EA,1,2.47
CAL GEST CW 500MG 150 ASSORTED,MAJOR RUGBY LAB CS NLC,CAL GEST,500MG,150 EA,1,2.42
CAL GEST CW 500MG 150 ASSORTED,MAJOR RUGBY LABS CS CHLC,CAL GEST,500MG,150 EA,1,2.42
CAMILA TB 0.35MG 3X28 BPK,DR REDDYS LABS INC CS,NOR-Q-D,0.35MG,3X28EA,3,16.67
CAMRESE LO TB 0.1-0.02MG 2X91,TEVA PHARMA CS,CAMRESE LO,0.1-0.02MG,2X91EA,2,198.17
CANDESARTAN CILEXETIL TB 16MG 90,ALEMBIC PHARMACEUTICALS INC CS,ATACAND,16MG,90 EA,1,49.27
CANDESARTAN CILEXETIL TB 32MG 30,ALEMBIC PHARMACEUTICALS INC CS,ATACAND,32MG,30 EA,1,20.37
CANDESARTAN CILEXETIL TB 4MG 90,ALEMBIC PHARMACEUTICALS INC CS,ATACAND,4MG,90 EA,1,43.57
CANDESARTAN CILEXETIL TB 8MG 90,ALEMBIC PHARMACEUTICALS INC CS,ATACAND,8MG,90 EA,1,38.77
CANDESARTAN/HCTZ TB 16-12.5MG 90,MACLEODS PHARMA USA INC CS,ATACAND HCT,16-12.5MG,90 EA,1,60.47
CANDESARTAN/HCTZ TB 32-12.5MG 90,MACLEODS PHARMA USA INC CS,ATACAND HCT,32-12.5MG,90 EA,1,89.97
CANDESARTAN/HCTZ TB 32-25MG 90,MACLEODS PHARMA USA INC CS,ATACAND HCT,32-25MG,90 EA,1,94.47
CAPECITABINE TB 150MG 60,LIFESTAR PHARMA LLC CS,XELODA,150MG,60 EA,1,10.57
CAPECITABINE TB 500MG 120,LIFESTAR PHARMA LLC CS,XELODA,500MG,120 EA,1,62.07
CAPSAICIN CR 0.025% 60GM,MAJOR RUGBY LABS CHLC,ZOSTRIX,0.025%,60 GM,1,2.93
CAPSAICIN CR 0.025% 60GM,MAJOR RUGBY LABS NLC,ZOSTRIX,0.025%,60 GM,1,2.93
CAPTOPRIL TB 12.5MG 100,AJANTA PHARMA USA INC CS,CAPOTEN,12.5MG,100 EA,1,17.87
CAPTOPRIL TB 25MG 100,AJANTA PHARMA USA INC CS,CAPOTEN,25MG,100 EA,1,26.37
CAPTOPRIL TB 50MG 100,AJANTA PHARMA USA INC CS,CAPOTEN,50MG,100 EA,1,24.27
CARBAMAZEPINE CW 100MG 100,TARO PHARMACEUTICALS USA CS,TEGRETOL,100MG,100 EA,1,23.57
CARBAMAZEPINE CW 100MG 500,TARO PHARMACEUTICALS USA CS,TEGRETOL,100MG,500 EA,1,106.07
CARBAMAZEPINE ER CP 100MG 120,APOTEX CORP CS,CARBATROL,100MG,120 EA,1,69.77
CARBAMAZEPINE ER CP 200MG 120,APOTEX CORP CS,CARBATROL,200MG,120 EA,1,62.85
CARBAMAZEPINE ER CP 300MG 120,APOTEX CORP CS,CARBATROL,300MG,120 EA,1,71.17
CARBAMAZEPINE ER TB 100MG 100,INGENUS PHARMACEUTICALS LLC CS,TEGRETOL XR,100MG,100 EA,1,22.17
CARBAMAZEPINE ER TB 200MG 100,INGENUS PHARMACEUTICALS LLC CS,TEGRETOL XR,200MG,100 EA,1,31.77
CARBAMAZEPINE ER TB 400MG 100,INGENUS PHARMACEUTICALS LLC CS,TEGRETOL XR,400MG,100 EA,1,54.77
CARBAMAZEPINE SS 100MG/5ML 450ML,TARO PHARMACEUTICALS USA CS,TEGRETOL,100MG/5ML,450 ML,1,29.77
CARBAMAZEPINE TB 200MG 1000,TORRENT PHARMA INC CS,TEGRETOL,200MG,1000 EA,1,125.67
CARBAMAZEPINE TB 200MG 100 CPLT,BIONPHARMA INC CS,TEGRETOL,200MG,100 EA,1,8.27
CARBAMAZEPINE TB 200MG 500,TORRENT PHARMA INC CS,TEGRETOL,200MG,500 EA,1,62.87
CARBIDOPA/LEV ER TB 25-100MG 100,SCIEGEN PHARMACEUTICALS INC CS,SINEMET CR,25-100MG,100 EA,1,8.37
CARBIDOPA/LEV ER TB 50-200MG 100,SCIEGEN PHARMACEUTICALS INC CS,SINEMET CR,50-200MG,100 EA,1,17.87
CARBIDOPA/LEV TB 10-100MG 100,SCIEGEN PHARMACEUTICALS INC CS,SINEMET,10-100MG,100 EA,1,7.97
CARBIDOPA/LEV TB 25-100MG 100,DR REDDYS LABS INC CS,SINEMET,25-100MG,100 EA,1,17.77
CARBIDOPA/LEV TB 25-100MG 100,TEVA PHARMA CS,SINEMET 25-100,25-100MG,100 EA,1,7.07
CARBIDOPA/LEV TB 25-100MG 1000,TEVA PHARMA CS,SINEMET,25-100MG,1000 EA,1,62.67
CARBIDOPA/LEV TB 25-100MG 500,SCIEGEN PHARMACEUTICALS INC CS,SINEMET,25-100MG,500 EA,1,32.57
CARBIDOPA/LEV TB 25-250MG 100,TEVA PHARMA CS,SINEMET,25-250MG,100 EA,1,7.97
CARBIDOPA/LEV TB 25-250MG 1000,TEVA PHARMA CS,SINEMET,25-250MG,1000 EA,1,88.17
CARBIDOPA/LEV TB 25-250MG 500,SCIEGEN PHARMACEUTICALS INC CS,SINEMET,25-250MG,500 EA,1,44.97
CARBIDOPA/LEV TD 25-100MG 100 ODT,SUN PHARMACEUTICAL CS,PARCOPA,25-100MG,100 EA,1,84.77
CARBIDOPA/LEV TD 25-250MG 100 ODT,SUN PHARMACEUTICAL CS,PARCOPA,25-250MG,100 EA,1,88.27
CARBIDOPA TB 25MG 100,BAUSCH HEALTH US LLC CS,LODOSYN,25MG,100 EA,1,89.97
CARBINOXAMINE MAL LQ4MG/5ML 118ML,GENUS LIFESCIENCES INC CS,CLISTIN,4MG/5ML,118 ML,1,104.97
CARBINOXAMINE MAL LQ4MG/5ML 473ML,GENUS LIFESCIENCES INC CS,CLISTIN,4MG/5ML,473 ML,1,368.97
CARBINOXAMINE MAL TB 4MG 100,BIOCOMP PHARMA INC CS,CLISTIN,4MG,100 EA,1,29.27
CARB/LEV/ENTA TB 50-200-200MG 100,RISING PHARMA HOLDINGS INC CS,STALEVO 200,50-200-200MG,100 EA,1,82.07
CARB/LEV/EN TB 12.5-50-200MG 100,RISING PHARMA HOLDINGS INC CS,STALEVO 50,12.5-50-200MG,100 EA,1,106.27
CARB/LEV/EN TB 12.5-50-200MG 100,SANDOZ CS,STALEVO 50,12.5-50-200MG,100 EA,1,55.97
CARB/LEV/EN TB 18.75-75-200MG 100,RISING PHARMA HOLDINGS INC CS,STALEVO 75,18.75-75-200MG,100 EA,1,93.77
CARB/LEV/EN TB 18.75-75-200MG 100,SANDOZ CS,STALEVO 75,18.75-75-200MG,100 EA,1,51.27
CARB/LEV/EN TB 25-100-200MG 100,RISING PHARMA HOLDINGS INC CS,STALEVO 100,25-100-200MG,100 EA,1,82.07
CARB/LEV/EN TB 25-100-200MG 100,SANDOZ CS,STALEVO 100,25-100-200MG,100 EA,1,63.77
CARB/LEV/EN TB 31.25-125-200MG100,RISING PHARMA HOLDINGS INC CS,STALEVO 125,31.25-125-200MG,100 EA,1,104.67
CARB/LEV/EN TB 31.25-125-200MG100,SANDOZ CS,STALEVO 125,31.25-125-200MG,100 EA,1,53.57
CARB/LEV/EN TB 37.5-150-200MG100,RISING PHARMA HOLDINGS INC CS,STALEVO 150,37.5-150-200MG,100 EA,1,95.47
CARB/LEV/EN TB 37.5-150-200MG100,SANDOZ CS,STALEVO 150,37.5-150-200MG,100 EA,1,48.77
CARB/LEV/EN TB 50-200-200MG100,SANDOZ CS,STALEVO 200,50-200-200MG,100 EA,1,57.47
CARBOPLATIN MF 10MG/ML 60ML,PFIZER INJECTABLE SI,PARAPLATIN,10MG/ML,60 ML,1,64.17
